Date,Player,Active Play Time,Mine Ancient Debris,Horse Rode,Deaths
2022-09-07,LuckyLuke1112,1897200,1,,
2022-09-08,Japi247,974400,0,,
2022-09-08,Rozenkwarts,889200,0,1426869,
2022-09-08,Jornmeijsen,3712800,11,,
2022-09-08,RedPolygon,3547200,0,579,
2022-09-08,iesdwoet,2318400,8,2894564,
2022-09-08,ngc_,4768800,0,23372,
2022-09-08,TuinSlipper,874800,0,3691,
2022-09-08,LuckyLuke1112,1897200,1,,
2022-09-09,Japi247,974400,0,,
2022-09-09,Rozenkwarts,889200,0,1426869,
2022-09-09,Jornmeijsen,3984000,11,,
2022-09-09,RedPolygon,3720000,0,579,
2022-09-09,iesdwoet,2318400,8,2894564,
2022-09-09,ngc_,4862400,0,23372,
2022-09-09,TuinSlipper,939600,0,3691,
2022-09-09,LuckyLuke1112,1897200,1,,
2022-09-10,Japi247,974400,0,,
2022-09-10,Rozenkwarts,889200,0,1426869,
2022-09-10,Jornmeijsen,3990000,11,,
2022-09-10,RedPolygon,3735600,0,579,
2022-09-10,iesdwoet,2318400,8,2894564,
2022-09-10,ngc_,4870800,0,23372,
2022-09-10,TuinSlipper,939600,0,3691,
2022-09-10,LuckyLuke1112,1897200,1,,
2022-09-11,Japi247,974400,0,,
2022-09-11,Rozenkwarts,889200,0,1426869,
2022-09-11,Jornmeijsen,3990000,11,,
2022-09-11,RedPolygon,3735600,0,579,
2022-09-11,iesdwoet,2318400,8,2894564,
2022-09-11,ngc_,4899600,0,23372,
2022-09-11,TuinSlipper,939600,0,3691,
2022-09-11,LuckyLuke1112,1897200,1,,
2022-09-12,Japi247,974400,0,,
2022-09-12,Rozenkwarts,889200,0,1426869,
2022-09-12,Jornmeijsen,3990000,11,,
2022-09-12,RedPolygon,3735600,0,579,
2022-09-12,iesdwoet,2318400,8,2894564,
2022-09-12,ngc_,4947600,0,23372,
2022-09-12,TuinSlipper,939600,0,3691,
2022-09-12,LuckyLuke1112,1897200,1,,
2022-09-13,Japi247,974400,0,,
2022-09-13,Rozenkwarts,889200,0,1426869,
2022-09-13,Jornmeijsen,3990000,11,,
2022-09-13,RedPolygon,3735600,0,579,
2022-09-13,iesdwoet,2318400,8,2894564,
2022-09-13,ngc_,4947600,0,23372,
2022-09-13,TuinSlipper,939600,0,3691,
2022-09-13,LuckyLuke1112,1897200,1,,
2022-09-14,Japi247,974400,0,,
2022-09-14,Rozenkwarts,889200,0,1426869,
2022-09-14,Jornmeijsen,3990000,11,,
2022-09-14,RedPolygon,3735600,0,579,
2022-09-14,iesdwoet,2318400,8,2894564,
2022-09-14,ngc_,4947600,0,23372,
2022-09-14,TuinSlipper,939600,0,3691,
2022-09-14,LuckyLuke1112,1897200,1,,
2022-09-15,Japi247,974400,0,,
2022-09-15,Rozenkwarts,889200,0,1426869,
2022-09-15,Jornmeijsen,3990000,11,,
2022-09-15,RedPolygon,3735600,0,579,
2022-09-15,iesdwoet,2318400,8,2894564,
2022-09-15,ngc_,4947600,0,23372,
2022-09-15,TuinSlipper,939600,0,3691,
2022-09-15,LuckyLuke1112,1897200,1,,
2022-09-16,Japi247,974400,0,,
2022-09-16,Rozenkwarts,889200,0,1426869,
2022-09-16,Jornmeijsen,3990000,11,,
2022-09-16,RedPolygon,3830400,0,579,
2022-09-16,iesdwoet,2318400,8,2894564,
2022-09-16,ngc_,5122800,0,23372,
2022-09-16,TuinSlipper,939600,0,3691,
2022-09-16,LuckyLuke1112,1897200,1,,
2022-09-17,Japi247,974400,0,,
2022-09-17,Rozenkwarts,889200,0,1426869,
2022-09-17,Jornmeijsen,3990000,11,,
2022-09-17,RedPolygon,3932400,0,579,
2022-09-17,iesdwoet,2318400,8,2894564,
2022-09-17,ngc_,5235600,0,23372,
2022-09-17,TuinSlipper,939600,0,3691,
2022-09-17,LuckyLuke1112,1908000,1,,
